s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL
 4.8622398E+001, 1.2450726E+001,-3.0840399E+000,-7.3171890E+000,-9.2099495E-002, 1.7821821E-001, 0.0000000E+000, 0.0000000E+000, 2.6436039E+000, 2.1356157E+000, 5.3037025E-004, 5.3037025E-004
 4.9216766E+001, 1.2865822E+001,-3.2959562E+000,-9.1260278E+000,-1.7174383E-001, 1.7722044E-001, 0.0000000E+000, 0.0000000E+000, 8.6120993E-001, 4.4931488E-001, 5.5271712E-004, 5.5271712E-004
 4.9811134E+001, 1.4476757E+001,-3.7478839E+000,-9.2723604E+000,-1.8239903E-001, 1.7960358E-001, 0.0000000E+000, 0.0000000E+000, 1.8847038E+000, 1.4537168E+000, 5.9847426E-004, 5.9847426E-004
 5.0405506E+001, 1.3243097E+001,-3.3656172E+000,-9.5434597E+000,-1.8028082E-001, 1.7584582E-001, 0.0000000E+000, 0.0000000E+000, 7.6929418E-001, 3.2958549E-001, 5.6484906E-004, 5.6484906E-004
 5.1025715E+001, 1.3257394E+001,-3.3483964E+000,-1.0401453E+001,-1.8540273E-001, 1.8184687E-001, 0.0000000E+000, 0.0000000E+000, 6.5784696E-003,-4.9601112E-001, 5.4622838E-004, 5.4622838E-004
 5.1625256E+001, 1.1549566E+001,-2.8998229E+000,-1.0131127E+001,-1.4510508E-001, 1.5713519E-001, 0.0000000E+000, 0.0000000E+000,-1.0195948E+000,-1.4693539E+000, 4.9866993E-004, 4.9866993E-004
 5.2222206E+001, 1.2132407E+001,-3.1038021E+000,-9.9340605E+000,-1.2302755E-001, 1.6426946E-001, 0.0000000E+000, 0.0000000E+000,-4.9108023E-001,-8.6421345E-001, 5.2792318E-004, 5.2792318E-004
 5.2819160E+001, 1.4085586E+001,-3.7192231E+000,-9.6143823E+000,-1.1556386E-001, 1.8620504E-001, 0.0000000E+000, 0.0000000E+000, 1.1257817E+000, 8.2262218E-001, 6.2337340E-004, 6.2337340E-004
 5.3416115E+001, 1.4676011E+001,-3.7721432E+000,-9.3684506E+000,-1.4882125E-001, 1.8426672E-001, 0.0000000E+000, 0.0000000E+000, 2.0303893E+000, 1.5708625E+000, 5.9623521E-004, 5.9623521E-004
 5.4013065E+001, 1.4068919E+001,-3.5617031E+000,-1.0310577E+001,-1.8209254E-001, 1.7256134E-001, 0.0000000E+000, 0.0000000E+000, 7.2492330E-001, 1.8710761E-001, 5.8772748E-004, 5.8772748E-004
 5.4610020E+001, 1.1673728E+001,-2.8992132E+000,-1.0973620E+001,-1.5711303E-001, 1.6045900E-001, 0.0000000E+000, 0.0000000E+000,-1.7041022E+000,-2.1957598E+000, 4.7729768E-004, 4.7729768E-004
 5.5206974E+001, 1.2950125E+001,-3.2977330E+000,-1.0725219E+001,-1.2638933E-001, 1.8421159E-001, 0.0000000E+000, 0.0000000E+000,-6.8303879E-001,-1.0150045E+000, 5.3476599E-004, 5.3476599E-004
 5.5803928E+001, 1.5184280E+001,-3.9869583E+000,-9.3526662E+000,-9.2622363E-002, 2.1165394E-001, 0.0000000E+000, 0.0000000E+000, 2.2443442E+000, 1.9636875E+000, 6.2349431E-004, 6.2349431E-004
 5.6400879E+001, 1.9431313E+001,-5.3164542E+000,-9.9196396E+000,-2.0432027E-001, 2.7683257E-001, 0.0000000E+000, 0.0000000E+000, 4.4803842E+000, 4.2677315E+000, 7.9819311E-004, 7.9819311E-004
 5.7008106E+001, 1.9195074E+001,-4.9279273E+000,-1.1136255E+001,-2.7257421E-001, 2.8419181E-001, 0.0000000E+000, 0.0000000E+000, 3.6686736E+000, 3.1425099E+000, 7.0333378E-004, 7.0333378E-004
 5.7615810E+001, 1.9156761E+001,-5.0202639E+000,-1.3457105E+001,-3.8532820E-001, 2.9962855E-001, 0.0000000E+000, 0.0000000E+000, 9.3262615E-001, 5.9369263E-001, 7.4761218E-004, 7.4761218E-004
 5.8223518E+001, 2.2660508E+001,-6.1278093E+000,-1.3030900E+001,-4.0798545E-001, 3.3150846E-001, 0.0000000E+000, 0.0000000E+000, 3.6558696E+000, 3.4253213E+000, 8.5542326E-004, 8.5542326E-004
 5.8800526E+001, 2.4369436E+001,-6.5641117E+000,-1.4273394E+001,-4.8671610E-001, 3.4606628E-001, 0.0000000E+000, 0.0000000E+000, 3.7652621E+000, 3.3912807E+000, 9.6928025E-004, 9.6928025E-004
 5.9411655E+001, 2.3018490E+001,-5.9276964E+000,-1.5896912E+001,-5.3731300E-001, 2.9787473E-001, 0.0000000E+000, 0.0000000E+000, 1.5547839E+000, 9.5444306E-001, 7.6857199E-004, 7.6857199E-004
 6.0000153E+001, 1.9598238E+001,-5.0311628E+000,-1.8243932E+001,-5.8661005E-001, 2.8652459E-001, 0.0000000E+000, 0.0000000E+000,-3.5443402E+000,-3.9769425E+000, 7.2579511E-004, 7.2579511E-004
 6.0613544E+001, 2.2176421E+001,-5.9573931E+000,-1.7290662E+001,-4.4129029E-001, 3.2460551E-001, 0.0000000E+000, 0.0000000E+000,-9.1913464E-001,-1.1883188E+000, 8.2225457E-004, 8.2225457E-004
 6.1211090E+001, 2.5309879E+001,-6.9123476E+000,-1.5737402E+001,-5.1952598E-001, 3.6513863E-001, 0.0000000E+000, 0.0000000E+000, 2.7053096E+000, 2.5057420E+000, 1.0040467E-003, 1.0040467E-003
 6.1802879E+001, 2.7924270E+001,-7.5608882E+000,-1.7360145E+001,-6.7325550E-001, 3.5734090E-001, 0.0000000E+000, 0.0000000E+000, 3.2184181E+000, 2.6873215E+000, 9.9430948E-004, 9.9430948E-004
 6.2403694E+001, 2.3565166E+001,-6.1740090E+000,-1.9347266E+001,-6.5514315E-001, 3.3913158E-001, 0.0000000E+000, 0.0000000E+000,-1.8707190E+000,-2.2721206E+000, 8.5516935E-004, 8.5516935E-004
 6.3004509E+001, 2.4751397E+001,-6.4822343E+000,-1.6844042E+001,-6.3163176E-001, 3.5271131E-001, 0.0000000E+000, 0.0000000E+000, 1.4325345E+000, 1.1461999E+000, 9.0739107E-004, 9.0739107E-004
 6.3605320E+001, 2.6293508E+001,-6.8795652E+000,-1.7126565E+001,-5.7450395E-001, 3.4757344E-001, 0.0000000E+000, 0.0000000E+000, 2.5095469E+000, 2.0604466E+000, 9.6386298E-004, 9.6386298E-004
 6.4219490E+001, 2.5506808E+001,-6.9687361E+000,-1.8108128E+001,-6.2861395E-001, 3.6406090E-001, 0.0000000E+000, 0.0000000E+000, 4.4837528E-001, 1.6539151E-001, 1.0006041E-003, 1.0006041E-003
 6.4804642E+001, 3.6201961E+001,-9.9768916E+000,-1.4974986E+001,-6.4404671E-001, 1.3189616E+000, 0.0000000E+000, 0.0000000E+000, 1.1315406E+001, 1.1924998E+001, 2.2106168E-003, 2.2106168E-003
 6.5412941E+001, 7.7351065E+001,-2.0725577E+001,-2.2595496E+001,-1.2612482E+000, 8.0050195E-001, 0.0000000E+000, 0.0000000E+000, 3.4182664E+001, 3.3569246E+001, 2.3337089E-003, 2.3337089E-003
 6.6009521E+001, 2.8505196E+001,-7.0498523E+000,-4.1111733E+001,-2.0696458E+000, 3.6730288E-001, 0.0000000E+000, 0.0000000E+000,-2.0566381E+001,-2.1358732E+001, 1.0370581E-003, 1.0370581E-003
 6.6603004E+001, 2.5760108E+001,-6.8199197E+000,-3.0181600E+001,-9.3263858E-001, 5.9191461E-001, 0.0000000E+000, 0.0000000E+000,-1.1587473E+001,-1.1582135E+001, 1.1205933E-003, 1.1205933E-003
 6.7211227E+001, 6.5385456E+001,-1.7861136E+001,-2.0813426E+001,-7.0205070E-001, 1.1141406E+000, 0.0000000E+000, 0.0000000E+000, 2.6679364E+001, 2.7122983E+001, 2.6855683E-003, 2.6855683E-003
 6.7807266E+001, 3.3294642E+001,-8.3063854E+000,-3.5019000E+001,-1.7152893E+000, 3.9996440E-001, 0.0000000E+000, 0.0000000E+000,-1.0365402E+001,-1.1346068E+001, 1.1219025E-003, 1.1219025E-003
 6.8408264E+001, 2.3987105E+001,-6.0488278E+000,-3.5069180E+001,-1.0605274E+000, 3.3214378E-001, 0.0000000E+000, 0.0000000E+000,-1.7354324E+001,-1.7859287E+001, 8.8537303E-004, 8.8537303E-004
 6.9022713E+001, 2.5478088E+001,-6.8989106E+000,-2.7500313E+001,-5.3739092E-001, 3.7587976E-001, 0.0000000E+000, 0.0000000E+000,-9.1369238E+000,-9.0826463E+000, 9.8931253E-004, 9.8931253E-004
 6.9616051E+001, 3.1919768E+001,-8.5732747E+000,-1.8664653E+001,-4.2952291E-001, 4.1445548E-001, 0.0000000E+000, 0.0000000E+000, 4.7671045E+000, 4.6667732E+000, 1.1921558E-003, 1.1921558E-003
 7.0203110E+001, 2.9336805E+001,-7.8452252E+000,-1.8369368E+001,-5.4073635E-001, 4.1773239E-001, 0.0000000E+000, 0.0000000E+000, 3.6878909E+000, 2.9992076E+000, 1.0294181E-003, 1.0294181E-003
 7.0821785E+001, 2.2983657E+001,-6.0618029E+000,-2.4735893E+001,-5.6823614E-001, 3.5518218E-001, 0.0000000E+000, 0.0000000E+000,-7.6491573E+000,-8.0270923E+000, 9.7154149E-004, 9.7154149E-004
 7.1415543E+001, 3.0514737E+001,-8.2748126E+000,-1.9963279E+001,-5.0932856E-001, 3.8975212E-001, 0.0000000E+000, 0.0000000E+000, 2.1498071E+000, 2.1570694E+000, 1.1643123E-003, 1.1643123E-003
 7.2001045E+001, 2.8083950E+001,-7.0620328E+000,-2.0679533E+001,-4.7818018E-001, 3.4188803E-001, 0.0000000E+000, 0.0000000E+000, 1.0662557E+000, 2.0609250E-001, 9.1453420E-004, 9.1453420E-004
 7.2601471E+001, 1.9392587E+001,-4.8669924E+000,-2.0986506E+001,-4.2135730E-001, 2.7210961E-001, 0.0000000E+000, 0.0000000E+000,-6.1365512E+000,-6.6101584E+000, 7.2531155E-004, 7.2531155E-004
 7.3221352E+001, 2.1919361E+001,-5.9646189E+000,-1.8490745E+001,-2.5003491E-001, 3.2015090E-001, 0.0000000E+000, 0.0000000E+000,-2.1873302E+000,-2.4658872E+000, 8.3993927E-004, 8.3993927E-004
 7.3820183E+001, 2.9076985E+001,-8.0578911E+000,-2.0208918E+001,-3.1161562E-001, 3.7992363E-001, 0.0000000E+000, 0.0000000E+000, 1.0494194E+000, 8.7848352E-001, 1.0650991E-003, 1.0650991E-003
 7.4404388E+001, 2.8181360E+001,-7.4080581E+000,-1.7085242E+001,-4.2721001E-001, 4.0619230E-001, 0.0000000E+000, 0.0000000E+000, 4.0345567E+000, 3.6670429E+000, 1.1012377E-003, 1.1012377E-003
 7.5003418E+001, 2.4772952E+001,-6.2108984E+000,-2.0307575E+001,-4.5745850E-001, 3.2068960E-001, 0.0000000E+000, 0.0000000E+000,-1.1556419E+000,-1.8822900E+000, 8.7458768E-004, 8.7458768E-004
 7.5603035E+001, 2.2252312E+001,-5.8806708E+000,-2.0529550E+001,-3.5939077E-001, 3.2629047E-001, 0.0000000E+000, 0.0000000E+000,-3.7901742E+000,-4.1910092E+000, 8.3423714E-004, 8.3423714E-004
 7.6204559E+001, 2.3506915E+001,-6.1546186E+000,-1.9345537E+001,-2.7364165E-001, 3.2086026E-001, 0.0000000E+000, 0.0000000E+000,-1.4936737E+000,-1.9460217E+000, 8.7654200E-004, 8.7654200E-004
 7.6800964E+001, 2.2181173E+001,-5.7767290E+000,-1.9940975E+001,-2.8053318E-001, 3.1487279E-001, 0.0000000E+000, 0.0000000E+000,-3.1950903E+000,-3.5021918E+000, 8.4631915E-004, 8.4631915E-004
 7.7416748E+001, 2.6802722E+001,-7.2103241E+000,-1.6745854E+001,-2.6022061E-001, 3.8594337E-001, 0.0000000E+000, 0.0000000E+000, 3.1890808E+000, 2.9722661E+000, 1.0112192E-003, 1.0112192E-003
 7.8008842E+001, 2.6093846E+001,-6.8205834E+000,-1.5415672E+001,-2.6264819E-001, 3.6356378E-001, 0.0000000E+000, 0.0000000E+000, 4.4172583E+000, 3.9585064E+000, 9.7383248E-004, 9.7383248E-004
 7.8612495E+001, 2.8921093E+001,-7.7287072E+000,-1.6039870E+001,-3.3548213E-001, 7.0226070E-001, 0.0000000E+000, 0.0000000E+000, 5.2995279E+000, 5.5192935E+000, 1.4462896E-003, 1.4462896E-003
 7.9209808E+001, 7.7634437E+001,-2.1564556E+001,-1.4844579E+001,-7.8220647E-001, 1.3019169E+000, 0.0000000E+000, 0.0000000E+000, 4.1744057E+001, 4.1745013E+001, 2.9808742E-003, 2.9808742E-003
 7.9821701E+001, 3.5628620E+001,-8.8678905E+000,-3.5886771E+001,-1.9298976E+000, 4.0895747E-001, 0.0000000E+000, 0.0000000E+000,-9.4901469E+000,-1.0646981E+001, 1.3056248E-003, 1.3056248E-003
 8.0403999E+001, 3.0766722E+001,-8.2463595E+000,-3.6106165E+001,-1.1078705E+000, 3.7976709E-001, 0.0000000E+000, 0.0000000E+000,-1.3874900E+001,-1.4313906E+001, 1.1438855E-003, 1.1438855E-003
 8.1008102E+001, 2.2486744E+001,-5.6086878E+000,-2.9699542E+001,-6.6480043E-001, 3.0057792E-001, 0.0000000E+000, 0.0000000E+000,-1.2621777E+001,-1.3185708E+001, 8.6328380E-004, 8.6328380E-004
 8.1603355E+001, 2.4615031E+001,-6.7186251E+000,-2.4322854E+001,-3.7018930E-001, 3.4335166E-001, 0.0000000E+000, 0.0000000E+000,-6.3373735E+000,-6.4532864E+000, 1.0151569E-003, 1.0151569E-003
 8.2209076E+001, 2.8052670E+001,-7.2354114E+000,-2.1277872E+001,-2.5035097E-001, 3.7468739E-001, 0.0000000E+000, 0.0000000E+000, 1.0493380E-001,-3.3627765E-001, 1.0140595E-003, 1.0140595E-003
 8.2819427E+001, 3.8818879E+001,-1.0824302E+001,-2.2136310E+001,-4.4541304E-001, 6.7814490E-001, 0.0000000E+000, 0.0000000E+000, 5.8680198E+000, 6.0909989E+000, 1.6531031E-003, 1.6531031E-003
 8.3403458E+001, 5.3099936E+001,-1.3723864E+001,-2.2261691E+001,-5.8569164E-001, 1.0548893E+000, 0.0000000E+000, 0.0000000E+000, 1.7091228E+001, 1.7583577E+001, 2.5396580E-003, 2.5396580E-003
 8.4011742E+001, 6.6711342E+001,-1.7942987E+001,-3.2927588E+001,-1.4497505E+000, 7.0957138E-001, 0.0000000E+000, 0.0000000E+000, 1.6468144E+001, 1.5100588E+001, 2.0862831E-003, 2.0862831E-003
 8.4608284E+001, 2.7244008E+001,-6.4345241E+000,-4.2657060E+001,-1.5874163E+000, 3.3793494E-001, 0.0000000E+000, 0.0000000E+000,-2.1972752E+001,-2.3097058E+001, 1.0111542E-003, 1.0111542E-003
 8.5226044E+001, 2.1619518E+001,-5.6000744E+000,-3.3968909E+001,-7.1990817E-001, 2.9503551E-001, 0.0000000E+000, 0.0000000E+000,-1.8315006E+001,-1.8374338E+001, 8.2556683E-004, 8.2556683E-004
 8.5808861E+001, 2.7015524E+001,-7.3314529E+000,-2.1287142E+001,-1.2773593E-001, 3.6666111E-001, 0.0000000E+000, 0.0000000E+000,-1.2714377E+000,-1.3641463E+000, 9.9620220E-004, 9.9620220E-004
 8.6418587E+001, 2.8469646E+001,-7.6968861E+000,-1.7559413E+001,-1.5536987E-001, 4.0173629E-001, 0.0000000E+000, 0.0000000E+000, 3.7861163E+000, 3.4597136E+000, 1.1294875E-003, 1.1294875E-003
 8.7004868E+001, 3.4730182E+001,-9.2996644E+000,-2.4102200E+001,-3.1165745E-001, 4.2003678E-001, 0.0000000E+000, 0.0000000E+000, 1.7717893E+000, 1.4366971E+000, 1.1853533E-003, 1.1853533E-003
 8.7614594E+001, 2.6914678E+001,-6.9145277E+000,-2.0310538E+001,-3.4022556E-001, 4.0050577E-001, 0.0000000E+000, 0.0000000E+000, 2.6232933E-001,-2.5010841E-001, 1.0310966E-003, 1.0310966E-003
 8.8200874E+001, 2.6915773E+001,-6.9544922E+000,-2.2703635E+001,-2.8813843E-001, 3.7810000E-001, 0.0000000E+000, 0.0000000E+000,-2.2171196E+000,-2.6523925E+000, 9.5584390E-004, 9.5584390E-004
 8.8800468E+001, 2.8151021E+001,-7.7438542E+000,-1.9235730E+001,-2.0937663E-001, 4.0262313E-001, 0.0000000E+000, 0.0000000E+000, 1.5990556E+000, 1.3646836E+000, 1.0767017E-003, 1.0767017E-003
