s,C,kg/m2/s,kW/m2,kW/m2,kW/m2,C,kW/m3,kW/m3,kW/m2
Time,"temp","burn","rad","gauge","con","gas","hrrpuv","qr","U"
 1.8637087E+001, 2.8745400E+002, 1.2210798E-005, 4.1556604E+000, 1.0850467E+001,-2.9814618E-001, 2.2870295E+002, 4.2587679E+002,-1.9162195E+002, 5.3743003E+001
 1.9222857E+001, 2.9100495E+002, 1.7164013E-005, 4.0770057E+000, 1.0925718E+001,-3.2255298E-001, 2.2852804E+002, 4.2653563E+002,-1.9127022E+002, 5.4072504E+001
 1.9808627E+001, 2.9404554E+002, 2.3116815E-005, 3.9804005E+000, 1.0960506E+001,-3.2949938E-001, 2.3055418E+002, 4.3244456E+002,-1.9545778E+002, 5.4223367E+001
 2.0439456E+001, 2.9709209E+002, 3.0793223E-005, 3.9052145E+000, 1.1024502E+001,-3.4999597E-001, 2.3094073E+002, 4.4383242E+002,-1.9380103E+002, 5.4529250E+001
 2.1025226E+001, 3.0049232E+002, 4.0394910E-005, 3.9061000E+000, 1.1180334E+001,-3.3391302E-001, 2.3651705E+002, 4.6153148E+002,-2.0263519E+002, 5.5235941E+001
 2.1632822E+001, 3.0389978E+002, 5.3127621E-005, 3.8880632E+000, 1.1328336E+001,-3.3272198E-001, 2.4013185E+002, 4.7198906E+002,-2.0689914E+002, 5.5911148E+001
 2.2240418E+001, 3.0697319E+002, 6.9029357E-005, 3.8525047E+000, 1.1445894E+001,-3.5503887E-001, 2.3994878E+002, 4.7808616E+002,-2.0812226E+002, 5.6408800E+001
 2.2807508E+001, 3.0940606E+002, 8.6118649E-005, 3.7821497E+000, 1.1490200E+001,-3.6381374E-001, 2.4120477E+002, 4.8473573E+002,-2.0754030E+002, 5.6629927E+001
 2.3415104E+001, 3.1119853E+002, 1.0400879E-004, 3.6691482E+000, 1.1457241E+001,-3.6505061E-001, 2.4291074E+002, 4.8677147E+002,-2.0773152E+002, 5.6515625E+001
 2.4022700E+001, 3.1336981E+002, 1.2356906E-004, 3.6652920E+000, 1.1560356E+001,-3.6253669E-001, 2.4534416E+002, 4.9314696E+002,-2.1263840E+002, 5.6950086E+001
 2.4630296E+001, 3.1514841E+002, 1.4523245E-004, 3.6019703E+000, 1.1584003E+001,-3.5993293E-001, 2.4757457E+002, 4.9588803E+002,-2.1336961E+002, 5.7077311E+001
 2.5237892E+001, 3.1660321E+002, 1.6684056E-004, 3.5534473E+000, 1.1606936E+001,-3.7217836E-001, 2.4733932E+002, 4.9709033E+002,-2.1501879E+002, 5.7188812E+001
 2.5804982E+001, 3.1789695E+002, 1.8755286E-004, 3.5319276E+000, 1.1652449E+001,-3.9144813E-001, 2.4598063E+002, 4.9638899E+002,-2.1043411E+002, 5.7393319E+001
 2.6412578E+001, 3.1865329E+002, 2.0660917E-004, 3.4587072E+000, 1.1612903E+001,-4.0003954E-001, 2.4547274E+002, 4.9642594E+002,-2.0949746E+002, 5.7259355E+001
 2.7020174E+001, 3.1861766E+002, 2.2208836E-004, 3.3346665E+000, 1.1475053E+001,-4.6094891E-001, 2.3725108E+002, 4.4016239E+002,-1.9699142E+002, 5.6799623E+001
 2.7627770E+001, 3.1863897E+002, 2.3040757E-004, 3.3112871E+000, 1.1444837E+001,-4.8839638E-001, 2.3327076E+002, 4.4259184E+002,-1.9270689E+002, 5.6724623E+001
 2.8235366E+001, 3.1752325E+002, 2.3550421E-004, 3.1020181E+000, 1.1156873E+001,-5.2245824E-001, 2.2852952E+002, 4.2793095E+002,-1.8187394E+002, 5.5755218E+001
 2.8802456E+001, 3.1794150E+002, 2.3589851E-004, 3.2034539E+000, 1.1281354E+001,-4.7695539E-001, 2.3500203E+002, 4.5170652E+002,-1.9570367E+002, 5.6265906E+001
 2.9410052E+001, 3.1979052E+002, 2.5138191E-004, 3.3043323E+000, 1.1497714E+001,-4.3126735E-001, 2.4247762E+002, 4.6943128E+002,-1.9756105E+002, 5.7149161E+001
 3.0017648E+001, 3.2035193E+002, 2.6957628E-004, 3.2234584E+000, 1.1442730E+001,-4.3113595E-001, 2.4307880E+002, 4.7390777E+002,-1.9383527E+002, 5.6961125E+001
 3.0625244E+001, 3.2065172E+002, 2.8126889E-004, 3.2015045E+000, 1.1432555E+001,-4.3686310E-001, 2.4267524E+002, 4.8025571E+002,-1.9481362E+002, 5.6923653E+001
 3.1232840E+001, 3.2199468E+002, 2.9544914E-004, 3.3101455E+000, 1.1616962E+001,-3.8359984E-001, 2.5113363E+002, 4.9402043E+002,-2.1419409E+002, 5.7670648E+001
 3.1840437E+001, 3.2348362E+002, 3.1973586E-004, 3.3626392E+000, 1.1760924E+001,-3.9959880E-001, 2.5053538E+002, 5.0017264E+002,-2.1169449E+002, 5.8271017E+001
