s,C,kg/m2/s,kW/m2,kW/m2,kW/m2,C,kW/m3,kW/m3,kW/m2
Time,"temp","burn","rad","gauge","con","gas","hrrpuv","qr","U"
 8.1008106E+001, 3.9996217E+002, 6.2229717E-003, 1.5025685E+001, 3.1955633E+001, 1.2727455E+000, 5.7321358E+002, 2.0692109E+003,-9.0323733E+002, 1.4123681E+002
 8.1603359E+001, 4.1696519E+002, 8.5125527E-003, 2.2216217E+001, 4.2453142E+001, 2.1284846E+000, 6.6919952E+002, 3.0777536E+003,-1.5595822E+003, 1.7769350E+002
 8.2209079E+001, 4.3564835E+002, 9.2161442E-003, 2.1936665E+001, 4.7345800E+001, 2.0389893E+000, 6.8498005E+002, 2.5425338E+003,-1.3081744E+003, 2.0780769E+002
 8.2819430E+001, 5.6577531E+002, 1.0223338E-002, 1.8184633E+001, 5.3294982E+001, 1.5608292E+000, 7.6869486E+002, 3.5236918E+003,-1.6769582E+003, 2.4656873E+002
 8.3403457E+001, 5.6033663E+002, 1.2484209E-002, 1.8786643E+001, 5.5609577E+001, 2.8984033E+000, 8.8198177E+002, 4.2232674E+003,-1.5364305E+003, 2.7674368E+002
 8.4011741E+001, 5.4271620E+002, 1.4674792E-002, 2.0159635E+001, 5.5725951E+001, 3.3636599E+000, 9.0408795E+002, 3.4926166E+003,-1.3589419E+003, 2.4720220E+002
 8.4608284E+001, 4.4276276E+002, 7.8169776E-003, 1.0473011E+001, 3.0207455E+001, 8.6280456E-001, 5.6160628E+002, 1.8866662E+003,-6.2882331E+002, 1.4037929E+002
 8.5226042E+001, 4.0825222E+002, 4.0613647E-003, 7.5191535E+000, 2.2311668E+001, 1.8141178E-001, 4.4439994E+002, 1.4756493E+003,-5.3817852E+002, 1.0778505E+002
 8.5808860E+001, 4.3117176E+002, 6.6579181E-003, 1.2099853E+001, 3.0268780E+001, 7.5175819E-001, 5.4507593E+002, 2.0937932E+003,-7.7831992E+002, 1.3857061E+002
 8.6418588E+001, 4.2661357E+002, 6.9169588E-003, 1.1447707E+001, 2.9501230E+001, 8.9731808E-001, 5.6093603E+002, 2.2081094E+003,-7.5691555E+002, 1.3579012E+002
 8.7004866E+001, 4.3257461E+002, 1.1632801E-002, 1.9467324E+001, 3.9886084E+001, 1.6548409E+000, 6.6219258E+002, 2.8679504E+003,-1.1223728E+003, 1.7639521E+002
 8.7614595E+001, 4.6914503E+002, 4.4813254E-003, 8.8451624E+000, 3.0126337E+001, 5.5466986E-001, 5.6287455E+002, 1.5621566E+003,-6.5244171E+002, 1.4264893E+002
 8.8200873E+001, 4.6071384E+002, 4.7711205E-003, 9.1649469E+000, 2.9380853E+001, 5.5995977E-001, 5.5272245E+002, 1.9121581E+003,-7.2565190E+002, 1.3880211E+002
 8.8800472E+001, 4.9181412E+002, 6.6091977E-003, 1.3122752E+001, 3.8076798E+001, 1.3132455E+000, 6.6894387E+002, 2.7090898E+003,-1.2983329E+003, 1.6782492E+002
 8.9407109E+001, 5.3510556E+002, 1.1431380E-002, 1.8216635E+001, 5.0572045E+001, 2.2599632E+000, 8.0205518E+002, 4.0122681E+003,-1.7023221E+003, 2.1618070E+002
 9.0003528E+001, 5.0371886E+002, 1.1468431E-002, 1.9226613E+001, 4.6595149E+001, 1.3347735E+000, 6.8221536E+002, 2.7391047E+003,-1.1573138E+003, 2.2122745E+002
 9.0609844E+001, 5.2411996E+002, 2.0500209E-002, 3.0086416E+001, 6.3678608E+001, 2.8564295E+000, 8.4231706E+002, 3.4044791E+003,-1.1489990E+003, 3.1457903E+002
 9.1211371E+001, 4.9276319E+002, 1.2263851E-002, 1.7509293E+001, 4.5278600E+001, 3.3646362E+000, 8.2136869E+002, 3.1839766E+003,-1.1016850E+003, 2.2389076E+002
 9.1802763E+001, 5.8824647E+002, 1.1178654E-002, 1.6991252E+001, 5.8608710E+001, 2.9659583E+000, 9.1267642E+002, 3.1984657E+003,-1.2428803E+003, 2.7016520E+002
 9.2412202E+001, 4.5134139E+002, 5.1889556E-003, 8.4411365E+000, 2.8122709E+001, 7.0681864E-001, 5.6126977E+002, 2.0092008E+003,-5.8857773E+002, 1.3381711E+002
 9.3023394E+001, 4.7260437E+002, 6.2182398E-003, 1.2416429E+001, 3.5151067E+001, 1.2491304E+000, 6.4201113E+002, 2.3582828E+003,-1.0672955E+003, 1.5800892E+002
 9.3602684E+001, 5.2080110E+002, 1.1766915E-002, 1.8605775E+001, 4.9520487E+001, 2.4767130E+000, 8.0623922E+002, 3.9442183E+003,-1.5953198E+003, 2.0979146E+002
 9.4220220E+001, 5.1111993E+002, 1.5039260E-002, 2.3087972E+001, 5.3462709E+001, 2.4493487E+000, 7.9621520E+002, 3.9513733E+003,-1.8300559E+003, 2.2708988E+002
 9.4808837E+001, 4.6708680E+002, 1.3690891E-002, 2.0025692E+001, 4.4641634E+001, 1.8849654E+000, 6.9533825E+002, 3.0700855E+003,-1.2047036E+003, 1.9357604E+002
 9.5409872E+001, 4.3903796E+002, 9.1931377E-003, 1.6374613E+001, 3.6951904E+001, 1.2641506E+000, 6.2402209E+002, 2.5797710E+003,-1.1805431E+003, 1.6290225E+002
 9.6006780E+001, 5.9841747E+002, 1.1535706E-002, 2.2453910E+001, 6.4422730E+001, 1.5891114E+000, 8.0104590E+002, 3.0187443E+003,-1.2388028E+003, 3.1968826E+002
 9.6604877E+001, 5.2568757E+002, 1.1118127E-002, 1.3334974E+001, 4.6886397E+001, 3.0516474E+000, 8.6165455E+002, 3.6370144E+003,-9.3512566E+002, 2.1828915E+002
 9.7217011E+001, 5.2660414E+002, 1.2017372E-002, 2.1992208E+001, 5.2666183E+001, 1.7193513E+000, 7.4340188E+002, 3.3275962E+003,-1.9174569E+003, 2.2674429E+002
 9.7815403E+001, 4.9287641E+002, 1.3509182E-002, 1.9741149E+001, 4.7449445E+001, 1.9879491E+000, 7.3586734E+002, 3.1738560E+003,-9.6944857E+002, 2.3701306E+002
 9.8407551E+001, 5.1365571E+002, 2.0624742E-002, 2.4085832E+001, 6.0487215E+001, 3.9573343E+000, 8.8654595E+002, 3.4783912E+003,-1.7401316E+003, 2.6077787E+002
 9.9004897E+001, 5.1044853E+002, 6.1013743E-003, 1.1680799E+001, 3.9669372E+001, 1.3721052E+000, 6.8867042E+002, 2.9697400E+003,-1.0043354E+003, 1.8055731E+002
 9.9602362E+001, 5.5209550E+002, 1.0226360E-002, 1.9022958E+001, 5.2407222E+001, 1.5670133E+000, 7.5507624E+002, 3.5201895E+003,-1.9237880E+003, 2.2790059E+002
 1.0021322E+002, 5.2927904E+002, 1.1521035E-002, 1.7520670E+001, 4.9198518E+001, 2.1093686E+000, 7.8202070E+002, 3.7295108E+003,-1.5384395E+003, 2.1308914E+002
 1.0080149E+002, 5.1129575E+002, 1.2689465E-002, 2.0481692E+001, 4.9587015E+001, 1.8215226E+000, 7.3929794E+002, 3.4990560E+003,-1.5710756E+003, 2.1459531E+002
 1.0141005E+002, 4.7526246E+002, 1.2456335E-002, 1.9568547E+001, 4.4824861E+001, 1.9040408E+000, 7.1224457E+002, 3.2592632E+003,-1.3526678E+003, 1.9575091E+002
 1.0201861E+002, 4.8020067E+002, 1.6532844E-002, 2.4411432E+001, 5.1646548E+001, 2.6558205E+000, 7.7346962E+002, 3.8008835E+003,-1.5986869E+003, 2.1954013E+002
 1.0261243E+002, 5.0382533E+002, 5.8919666E-003, 1.2058659E+001, 3.8410167E+001, 1.1343761E+000, 6.6276059E+002, 2.1079891E+003,-9.3782958E+002, 1.7929448E+002
 1.0320993E+002, 5.5297585E+002, 1.0412324E-002, 1.8945024E+001, 5.3141857E+001, 1.9986357E+000, 7.9306571E+002, 3.3288795E+003,-1.6583017E+003, 2.3249432E+002
 1.0380057E+002, 4.7828941E+002, 8.3150544E-003, 1.0994578E+001, 3.5122390E+001, 1.0227550E+000, 6.1469594E+002, 1.9243881E+003,-6.3244328E+002, 1.6523961E+002
 1.0442160E+002, 4.2124166E+002, 3.6039662E-003, 8.0333524E+000, 2.4211475E+001, 3.8660327E-001, 4.9102797E+002, 1.4827254E+003,-4.9249571E+002, 1.1669976E+002
 1.0500127E+002, 4.5390851E+002, 6.3689653E-003, 1.2415914E+001, 3.3502364E+001, 1.2948058E+000, 6.3021136E+002, 2.2075288E+003,-8.3705374E+002, 1.5507178E+002
 1.0560960E+002, 4.7609934E+002, 1.0553859E-002, 1.6859851E+001, 4.2168191E+001, 2.1763083E+000, 7.3737347E+002, 2.7431883E+003,-1.1541774E+003, 1.8438323E+002
 1.0621793E+002, 4.7090354E+002, 1.3623583E-002, 2.0760289E+001, 4.7195118E+001, 3.0174389E+000, 8.0304880E+002, 3.5345764E+003,-1.5282403E+003, 1.9802158E+002
 1.0680969E+002, 5.4286326E+002, 1.2951385E-002, 1.1178420E+001, 5.1887109E+001, 2.3674024E+000, 7.7449861E+002, 3.3945434E+003,-1.4420723E+003, 2.1846753E+002
 1.0740194E+002, 5.4012658E+002, 9.4507607E-003, 1.6597093E+001, 4.8658318E+001, 1.7980438E+000, 7.6468072E+002, 3.5514568E+003,-1.6109603E+003, 2.1332796E+002
 1.0800148E+002, 5.2518282E+002, 1.0822364E-002, 1.6284986E+001, 4.6495574E+001, 1.4730134E+000, 7.1700675E+002, 3.0738618E+003,-1.2298520E+003, 2.0713923E+002
 1.0861875E+002, 4.4798738E+002, 5.7956731E-003, 1.0689491E+001, 3.0376960E+001, 8.0099366E-001, 5.7054414E+002, 2.1138819E+003,-9.2277043E+002, 1.3969902E+002
 1.0920737E+002, 4.9784860E+002, 1.1570776E-002, 2.0157528E+001, 4.7348887E+001, 1.7356364E+000, 7.1700282E+002, 3.3965598E+003,-1.6515773E+003, 2.0604928E+002
 1.0980581E+002, 4.9833100E+002, 1.8742114E-002, 2.8318644E+001, 5.8931640E+001, 3.2706088E+000, 8.5424485E+002, 4.0221367E+003,-1.7149807E+003, 2.5966540E+002
 1.1041474E+002, 4.8707383E+002, 1.1930291E-002, 1.8777439E+001, 4.7593974E+001, 2.6174079E+000, 7.9569217E+002, 3.4299927E+003,-1.3496674E+003, 2.0689136E+002
 1.1101981E+002, 4.8890942E+002, 6.8452760E-003, 1.1083233E+001, 3.5696985E+001, 1.0636315E+000, 6.4138511E+002, 1.8288353E+003,-7.0152722E+002, 1.6596374E+002
 1.1161007E+002, 4.6992118E+002, 6.0622211E-003, 1.1047326E+001, 3.3019804E+001, 8.8046007E-001, 5.9964378E+002, 2.0425309E+003,-8.2139555E+002, 1.5272009E+002
 1.1221662E+002, 4.7165472E+002, 6.6602201E-003, 1.2753708E+001, 3.5268167E+001, 1.0618115E+000, 6.2340403E+002, 2.1860849E+003,-1.0548140E+003, 1.6039145E+002
 1.1281754E+002, 5.1100787E+002, 1.1732881E-002, 1.9800046E+001, 4.8832569E+001, 1.9576363E+000, 7.5149688E+002, 3.5241059E+003,-1.7074406E+003, 2.1255037E+002
 1.1340264E+002, 5.0575193E+002, 1.6397857E-002, 2.5077433E+001, 5.5520651E+001, 2.7808424E+000, 8.1894752E+002, 3.6665364E+003,-1.6958333E+003, 2.4761986E+002
 1.1400572E+002, 4.5667597E+002, 1.2777735E-002, 1.8991612E+001, 4.2457057E+001, 1.9361473E+000, 6.8983112E+002, 2.6626168E+003,-1.0262043E+003, 1.8838245E+002
 1.1461087E+002, 9.0879170E+002, 1.3759047E-002,-6.6486583E+002, 4.4078048E+001,-2.2033725E-001, 7.4294216E+002, 2.9942168E+003,-1.3798800E+003, 6.5138675E+002
 1.1520460E+002, 5.4708734E+002, 1.1766414E-002, 1.6396449E+001, 5.0014995E+001, 1.5001078E+000, 7.4399065E+002, 2.7112695E+003,-1.1883503E+003, 2.2746921E+002
 1.1581576E+002, 4.4548534E+002, 5.2726562E-003, 9.5617105E+000, 2.8641461E+001, 6.5632136E-001, 5.5030148E+002, 1.8093686E+003,-7.8446899E+002, 1.3344895E+002
 1.1641129E+002, 4.6072504E+002, 6.7292803E-003, 1.2501797E+001, 3.3323092E+001, 6.9584080E-001, 5.7142783E+002, 2.0801336E+003,-9.8372203E+002, 1.5191472E+002
 1.1700682E+002, 4.6415819E+002, 8.1585282E-003, 1.4249786E+001, 3.6299249E+001, 1.0702752E+000, 6.1770785E+002, 2.3974987E+003,-1.0714975E+003, 1.6346521E+002
 1.1760606E+002, 4.9101676E+002, 1.4712994E-002, 2.6184607E+001, 5.3684410E+001, 2.1175638E+000, 7.4711131E+002, 3.2572235E+003,-1.4673988E+003, 2.3669710E+002
 1.1820035E+002, 5.6447313E+002, 2.1500513E-002, 2.5287630E+001, 7.0221720E+001, 2.9009379E+000, 8.8563124E+002, 3.1783314E+003,-8.4101736E+002, 3.6027601E+002
 1.1880984E+002, 4.4651139E+002, 4.5134191E-003, 7.6792281E+000, 2.7919945E+001, 1.4457852E+000, 6.2428284E+002, 1.7010017E+003,-6.6237654E+002, 1.2868323E+002
 1.1940549E+002, 4.4458690E+002, 4.4394363E-003, 9.2132671E+000, 2.7595435E+001, 3.9867400E-001, 5.1660253E+002, 1.6239897E+003,-7.4003451E+002, 1.2926625E+002
 1.2000023E+002, 4.6905993E+002, 6.2652867E-003, 1.3029380E+001, 3.5194420E+001, 1.0399154E+000, 6.1735490E+002, 2.3420276E+003,-1.1763690E+003, 1.5734713E+002
 1.2061822E+002, 5.0729310E+002, 1.1487835E-002, 1.9180561E+001, 4.7289978E+001, 1.6206617E+000, 7.1387336E+002, 3.2806979E+003,-1.5148231E+003, 2.0616133E+002
 1.2121414E+002, 4.6711133E+002, 1.0289276E-002, 1.5970593E+001, 3.8996649E+001, 1.1967506E+000, 6.3307643E+002, 2.5109362E+003,-1.0489905E+003, 1.7614051E+002
 1.2181006E+002, 4.3958223E+002, 8.2592716E-003, 1.3769142E+001, 3.3319656E+001, 8.9881405E-001, 5.7420499E+002, 2.2622153E+003,-8.9892991E+002, 1.5225556E+002
 1.2240598E+002, 4.3289996E+002, 1.0665063E-002, 1.8031287E+001, 3.8314451E+001, 1.3444471E+000, 6.2359183E+002, 2.7013418E+003,-1.2283012E+003, 1.6999549E+002
 1.2301470E+002, 5.0589189E+002, 9.7830512E-003, 1.9366397E+001, 4.7691073E+001, 1.5301279E+000, 7.1601578E+002, 2.8667405E+003,-1.4576063E+003, 2.1291528E+002
 1.2360735E+002, 5.3180947E+002, 9.8552488E-003, 1.7033985E+001, 4.8350889E+001, 1.9174105E+000, 7.6887517E+002, 3.3829840E+003,-1.6199311E+003, 2.1173213E+002
 1.2421975E+002, 5.1271581E+002, 1.1143666E-002, 1.6887633E+001, 4.5664483E+001, 1.4556004E+000, 7.0321319E+002, 2.7089177E+003,-1.2493581E+003, 2.0369221E+002
 1.2480922E+002, 4.8609944E+002, 1.0274688E-002, 2.1316137E+001, 4.6173108E+001, 1.1571923E+000, 6.4713953E+002, 2.4117063E+003,-1.0697441E+003, 2.3790935E+002
 1.2540195E+002, 5.0813654E+002, 2.1651179E-002, 2.9805876E+001, 6.3044598E+001, 3.5819038E+000, 8.8742861E+002, 3.3312911E+003,-8.1896717E+002, 3.3131110E+002
 1.2600780E+002, 4.9547889E+002, 8.3724751E-003, 1.4091503E+001, 4.0329845E+001, 1.9724428E+000, 7.0459212E+002, 2.2640588E+003,-1.2035526E+003, 1.7135602E+002
 1.2660287E+002, 4.7627454E+002, 5.8024561E-003, 1.1245975E+001, 3.3533370E+001, 6.8806455E-001, 5.8596567E+002, 2.1361946E+003,-9.7745309E+002, 1.5461834E+002
 1.2721638E+002, 5.2173743E+002, 9.3894925E-003, 1.7875676E+001, 4.6996887E+001, 1.4049267E+000, 7.0608601E+002, 3.2051551E+003,-1.4081718E+003, 2.4135723E+002
 1.2781401E+002, 4.7605891E+002, 8.5079466E-003, 1.2792737E+001, 3.6064619E+001, 8.8722921E-001, 6.0907380E+002, 2.1229840E+003,-6.0494768E+002, 1.9539490E+002
 1.2841781E+002, 4.5776774E+002, 7.3089999E-003, 1.3448763E+001, 3.5026845E+001, 1.2364013E+000, 6.2786291E+002, 2.1946529E+003,-1.0158568E+003, 1.5806272E+002
 1.2900682E+002, 4.6405616E+002, 1.0012712E-002, 1.6065112E+001, 3.8983598E+001, 1.3992203E+000, 6.5013371E+002, 2.4465292E+003,-1.0436757E+003, 1.7418170E+002
 1.2961764E+002, 4.3993863E+002, 8.4695273E-003, 1.4303478E+001, 3.4154632E+001, 1.0518568E+000, 5.9098426E+002, 2.4074214E+003,-1.0233849E+003, 1.5435448E+002
 1.3020666E+002, 4.3689236E+002, 8.5592810E-003, 1.4412845E+001, 3.3433897E+001, 7.2890236E-001, 5.4862830E+002, 2.0789122E+003,-8.2448969E+002, 1.5453250E+002
 1.3081748E+002, 9.6849428E+002, 9.3956742E-003,-6.1193907E+002, 2.8586035E+001,-1.5826673E+000, 5.2786292E+002, 1.7582633E+003,-5.9636210E+002, 2.3780930E+002
 1.3140298E+002, 2.1763912E+003, 8.4530288E-002,-2.8880237E+003, 9.4298642E+001,-4.5552587E+000, 1.1690397E+003, 3.0478390E+003,-2.7296530E+003, 2.3926781E+003
 1.3200943E+002, 5.7973541E+002, 1.3836836E-002, 1.9703511E+001, 6.2448629E+001, 3.7961411E+000, 9.7533449E+002, 2.9748431E+003,-1.5209442E+003, 2.9810358E+002
 1.3260852E+002, 5.5617146E+002, 1.6737428E-002, 2.5069174E+001, 6.4170354E+001, 4.1441493E+000, 9.7956279E+002, 2.2505354E+003,-1.4467255E+003, 2.9598299E+002
 1.3321966E+002, 4.0391490E+002, 4.5047147E-003, 6.6325703E+000, 2.2475650E+001, 6.6121832E-001, 4.7526514E+002, 1.3286387E+003,-2.8112617E+002, 1.0953538E+002
 1.3380586E+002, 3.9251399E+002, 1.9313814E-003, 7.3342950E+000, 2.0854248E+001, 2.5513634E-001, 4.4056986E+002, 1.2507128E+003,-6.7096249E+002, 9.8417046E+001
 1.3440495E+002, 4.2164089E+002, 5.1054339E-003, 1.0575339E+001, 2.7372732E+001, 5.0601590E-001, 5.0815740E+002, 1.7796205E+003,-6.8517192E+002, 1.2644815E+002
 1.3500002E+002, 4.1670679E+002, 4.8198908E-003, 1.0013139E+001, 2.6271944E+001, 4.9810515E-001, 5.0260135E+002, 1.6852003E+003,-6.4671361E+002, 1.2369024E+002
 1.3561700E+002, 4.2540132E+002, 5.9988803E-003, 1.1382023E+001, 2.8558674E+001, 4.5232569E-001, 5.0063898E+002, 1.7996983E+003,-5.9982797E+002, 1.3595550E+002
 1.3621025E+002, 4.2651531E+002, 6.1073449E-003, 1.2161953E+001, 3.0015179E+001, 8.5808543E-001, 5.6440497E+002, 1.8789811E+003,-8.0591162E+002, 1.3909119E+002
 1.3681646E+002, 5.2711326E+002, 7.7015772E-003, 1.6457527E+001, 4.7320962E+001, 2.2771398E+000, 7.9451263E+002, 2.9580305E+003,-1.6678711E+003, 2.0233800E+002
 1.3741303E+002, 5.4293606E+002, 1.2411352E-002, 1.8576409E+001, 5.2578224E+001, 2.3058701E+000, 8.0647691E+002, 3.4498221E+003,-1.4214704E+003, 2.3064673E+002
 1.3801893E+002, 4.3482866E+002, 5.1969460E-003, 9.2365732E+000, 2.7003765E+001, 3.8777423E-001, 5.0350935E+002, 1.6333279E+003,-6.7966059E+002, 1.2967408E+002
 1.3860597E+002, 4.7944956E+002, 9.5412077E-003, 1.9428980E+001, 4.4895739E+001, 2.0940593E+000, 7.2231885E+002, 2.6604033E+003,-1.2842246E+003, 2.4312485E+002
 1.3920875E+002, 4.8287893E+002, 1.5541230E-002, 2.0525685E+001, 5.0178322E+001, 4.0205131E+000, 8.9577722E+002, 3.7627604E+003,-8.6189380E+002, 2.2840788E+002
 1.3981170E+002, 4.2696587E+002, 6.7117421E-003, 1.1095936E+001, 2.9438665E+001, 1.1312492E+000, 5.6786093E+002, 1.9232314E+003,-6.6398341E+002, 1.3443186E+002
 1.4041893E+002, 4.2226775E+002, 5.7349378E-003, 1.1525724E+001, 2.8319523E+001, 6.0003305E-001, 5.2821073E+002, 1.8823487E+003,-9.5937476E+002, 1.3050214E+002
 1.4101545E+002, 4.9469847E+002, 5.8913429E-003, 1.3515177E+001, 3.8316287E+001, 9.6575624E-001, 6.3475682E+002, 2.2915161E+003,-1.1226082E+003, 1.7260491E+002
 1.4160273E+002, 4.9611473E+002, 8.0409868E-003, 1.3657006E+001, 3.9370421E+001, 1.1871346E+000, 6.6062582E+002, 2.4368408E+003,-1.0160843E+003, 1.8019345E+002
 1.4221176E+002, 4.9426855E+002, 8.7743226E-003, 1.6774812E+001, 4.2595414E+001, 1.4046065E+000, 6.8111424E+002, 3.0188873E+003,-1.4524521E+003, 1.8836050E+002
 1.4281638E+002, 5.1468863E+002, 1.4345671E-002, 2.2891033E+001, 5.3451225E+001, 2.2863157E+000, 7.8450346E+002, 3.5558911E+003,-1.7576963E+003, 2.3038607E+002
 1.4340343E+002, 4.7431377E+002, 1.4700362E-002, 2.1525587E+001, 4.8152044E+001, 2.6986020E+000, 7.7837590E+002, 3.1231586E+003,-1.2995669E+003, 2.0637229E+002
 1.4400862E+002, 5.2885639E+002, 1.0346912E-002, 9.2411754E+000, 2.5920582E+001, 1.5484971E+000, 6.7528347E+002, 3.2565163E+003,-1.3474147E+003, 1.8134378E+002
 1.4460192E+002, 5.3526868E+002, 9.3530490E-003, 1.6102383E+001, 4.8239459E+001, 2.1258665E+000, 7.9102897E+002, 3.6046014E+003,-1.3049010E+003, 2.1460067E+002
 1.4521148E+002, 4.7651642E+002, 7.6721221E-003, 1.1797156E+001, 3.5321506E+001, 1.1321462E+000, 6.3177345E+002, 2.3133806E+003,-8.8555289E+002, 1.6269505E+002
 1.4581306E+002, 4.5095488E+002, 5.8253823E-003, 1.1666503E+001, 3.1389568E+001, 6.8290082E-001, 5.5914293E+002, 2.0564157E+003,-9.4140728E+002, 1.4391477E+002
 1.4640087E+002, 4.8653568E+002, 1.0422425E-002, 1.8708382E+001, 4.4343790E+001, 1.6697532E+000, 7.0035158E+002, 3.2159838E+003,-1.5822436E+003, 1.9282572E+002
 1.4700438E+002, 4.9027956E+002, 1.5804283E-002, 2.3614547E+001, 5.2234030E+001, 2.7150155E+000, 7.9482430E+002, 3.5612225E+003,-1.5167118E+003, 2.2382429E+002
 1.4761270E+002, 5.3973405E+002, 1.2342557E-002, 5.2414301E+000, 4.3535085E+001, 1.8870225E+000, 7.1623663E+002, 3.4609141E+003,-1.5396085E+003, 1.9865618E+002
 1.4821917E+002, 5.3513780E+002, 9.5730010E-003, 1.6954808E+001, 4.8117781E+001, 1.4803045E+000, 7.2793249E+002, 2.8864304E+003,-1.4828026E+003, 2.1833752E+002
 1.4880543E+002, 4.7475314E+002, 7.5241141E-003, 1.2199589E+001, 3.5181248E+001, 9.1833298E-001, 6.1243471E+002, 2.2089873E+003,-9.8700874E+002, 1.6182670E+002
 1.4942201E+002, 4.6687531E+002, 7.5495991E-003, 1.3544456E+001, 3.5329060E+001, 7.9791458E-001, 5.8803308E+002, 2.1057347E+003,-9.8301427E+002, 1.6051120E+002
 1.5000019E+002, 4.4010678E+002, 6.3994197E-003, 1.0829762E+001, 2.9426152E+001, 5.2429692E-001, 5.3027445E+002, 1.9537419E+003,-7.1186191E+002, 1.3903430E+002
 1.5060060E+002, 4.4217559E+002, 7.0223466E-003, 1.3251410E+001, 3.2514613E+001, 7.5155506E-001, 5.5780706E+002, 2.1298117E+003,-9.1947904E+002, 1.4912354E+002
 1.5120101E+002, 4.4487667E+002, 8.9404476E-003, 1.5133454E+001, 3.5461559E+001, 1.0580531E+000, 5.9723662E+002, 2.4097234E+003,-1.0578225E+003, 1.6009688E+002
 1.5180142E+002, 4.3929308E+002, 9.1875303E-003, 1.5253755E+001, 3.5239589E+001, 1.1254647E+000, 5.9737820E+002, 2.4495363E+003,-9.4052781E+002, 1.5932624E+002
 1.5240183E+002, 8.5678719E+002, 1.2562056E-002,-4.7421768E+002, 2.9799057E+001,-1.6568261E+000, 5.2587444E+002, 1.9452295E+003,-6.8559209E+002, 2.3203272E+002
 1.5300224E+002, 5.3113261E+002, 1.0076340E-002, 1.8550906E+001, 4.8945938E+001, 1.4636923E+000, 7.2437129E+002, 3.6413191E+003,-1.6280418E+003, 4.5180919E+002
 1.5360044E+002, 5.3311987E+002, 1.2844581E-002, 2.0252872E+001, 5.2774808E+001, 2.2650135E+000, 8.0280072E+002, 3.6249846E+003,-1.5827477E+003, 2.4221482E+002
 1.5420485E+002, 5.2912263E+002, 1.8155296E-002, 2.6486574E+001, 6.1896972E+001, 4.1973316E+000, 9.5374749E+002, 3.7206680E+003,-1.3215470E+003, 2.9598792E+002
 1.5480211E+002, 4.5069153E+002, 1.1496014E-002, 1.6552110E+001, 3.9947445E+001, 2.5631770E+000, 7.2935490E+002, 2.5617392E+003,-9.3521111E+002, 1.7427653E+002
 1.5542031E+002, 5.3617332E+002, 7.5704339E-003, 3.9340203E+000, 3.1433429E+001, 9.0403902E-001, 5.8856543E+002, 2.2354382E+003,-1.1280898E+003, 1.5574222E+002
 1.5600229E+002, 2.4014910E+003, 9.2591276E-002,-3.1450218E+003, 8.6607224E+001,-4.3871388E+000, 1.1991409E+003, 2.9494509E+003,-2.5114026E+003, 2.1411637E+003
 1.5660649E+002, 5.8360031E+002, 1.4184131E-002, 1.9122677E+001, 6.3734401E+001, 3.8671450E+000, 9.8612444E+002, 3.1061317E+003,-1.2586351E+003, 4.1787734E+002
 1.5721931E+002, 4.4968112E+002, 5.7270032E-003, 1.0507077E+001, 3.1227542E+001, 1.1514816E+000, 6.0784804E+002, 1.9394265E+003,-7.4518067E+002, 1.4804805E+002
 1.5780399E+002, 4.9518649E+002, 1.0589789E-002, 2.1406437E+001, 4.8375030E+001, 1.8046248E+000, 7.1862756E+002, 3.3391657E+003,-1.7410980E+003, 2.0843603E+002
 1.5840794E+002, 4.5175503E+002, 9.2608901E-003, 1.4517547E+001, 3.5949860E+001, 1.0064248E+000, 5.9381123E+002, 2.0174102E+003,-6.8615504E+002, 1.6745778E+002
 1.5900249E+002, 4.2361256E+002, 5.6578421E-003, 1.2096738E+001, 2.9447939E+001, 6.7481498E-001, 5.3125965E+002, 1.8653419E+003,-8.1191812E+002, 1.3751106E+002
 1.5962049E+002, 5.4699713E+002, 1.1758504E-002, 2.7797502E+000, 4.0243212E+001, 1.5598707E+000, 6.8261565E+002, 3.1109018E+003,-1.4489196E+003, 1.9687461E+002
 1.6021431E+002, 5.3454751E+002, 9.4285014E-003, 1.7592512E+001, 4.9560144E+001, 2.0738009E+000, 7.8182423E+002, 3.3735708E+003,-1.4678924E+003, 2.4481551E+002
 1.6080528E+002, 5.1998097E+002, 1.1424636E-002, 1.9044213E+001, 4.9643372E+001, 2.2180420E+000, 7.8506416E+002, 3.4374869E+003,-1.6523371E+003, 2.2616529E+002
 1.6140015E+002, 5.1661545E+002, 1.5587442E-002, 2.4426579E+001, 5.5753498E+001, 2.5414740E+000, 8.0915228E+002, 3.6232375E+003,-1.7101449E+003, 2.3949850E+002
 1.6201686E+002, 4.4889089E+002, 1.0266568E-002, 1.6117810E+001, 3.7612117E+001, 1.3365776E+000, 6.2524979E+002, 2.6323624E+003,-9.5272776E+002, 1.6901391E+002
 1.6260770E+002, 4.4280894E+002, 1.1295461E-002, 1.9960762E+001, 4.2577645E+001, 1.5311097E+000, 6.5758682E+002, 2.5312108E+003,-1.4245926E+003, 1.8694305E+002
 1.6321086E+002, 5.0488848E+002, 7.9609492E-003, 1.4944262E+001, 4.1773154E+001, 1.2128002E+000, 6.7341783E+002, 2.7434249E+003,-1.2372356E+003, 1.8813256E+002
 1.6381401E+002, 4.8392317E+002, 7.9024639E-003, 1.4601673E+001, 3.8776008E+001, 1.0501215E+000, 6.3485366E+002, 2.5814130E+003,-1.0405887E+003, 1.7635868E+002
