,,s,s,s
Time Step,Wall Time,Step Size,Simulation Time,CPU Time
  32100,2021-03-07T22:49:57.381-05:00,   0.979E-02, 522.58702,4568.40409
  32200,2021-03-07T22:50:01.183-05:00,   0.872E-02, 523.52973,4582.54184
  32300,2021-03-07T22:50:04.987-05:00,   0.936E-02, 524.50654,4596.71258
  32400,2021-03-07T22:50:08.678-05:00,   0.945E-02, 525.48641,4610.72077
  32500,2021-03-07T22:50:12.512-05:00,   0.904E-02, 526.51211,4625.02627
  32600,2021-03-07T22:50:16.277-05:00,   0.111E-01, 527.50540,4639.07301
  32700,2021-03-07T22:50:20.044-05:00,   0.110E-01, 528.60456,4653.15191
  32800,2021-03-07T22:50:23.838-05:00,   0.100E-01, 529.62946,4667.29821
  32900,2021-03-07T22:50:27.603-05:00,   0.973E-02, 530.61369,4681.32911
  33000,2021-03-07T22:50:31.389-05:00,   0.104E-01, 531.68574,4695.42377
  33100,2021-03-07T22:50:35.122-05:00,   0.106E-01, 532.67086,4709.61511
  33200,2021-03-07T22:50:38.925-05:00,   0.926E-02, 533.67582,4723.76655
  33300,2021-03-07T22:50:42.743-05:00,   0.102E-01, 534.60982,4737.98112
  33400,2021-03-07T22:50:46.655-05:00,   0.101E-01, 535.60460,4752.56942
  33500,2021-03-07T22:50:50.438-05:00,   0.867E-02, 536.56035,4766.66994
  33600,2021-03-07T22:50:54.170-05:00,   0.103E-01, 537.51941,4780.83827
  33700,2021-03-07T22:50:57.991-05:00,   0.996E-02, 538.47118,4795.07757
  33800,2021-03-07T22:51:01.874-05:00,   0.908E-02, 539.45371,4809.55369
  33900,2021-03-07T22:51:05.726-05:00,   0.986E-02, 540.36856,4823.92106
  34000,2021-03-07T22:51:09.560-05:00,   0.959E-02, 541.38029,4838.22691
  34100,2021-03-07T22:51:13.321-05:00,   0.102E-01, 542.27104,4852.49930
  34200,2021-03-07T22:51:17.134-05:00,   0.109E-01, 543.31800,4866.68918
  34300,2021-03-07T22:51:20.989-05:00,   0.879E-02, 544.29630,4881.06318
  34400,2021-03-07T22:51:24.784-05:00,   0.105E-01, 545.31044,4895.21930
  34500,2021-03-07T22:51:28.603-05:00,   0.100E-01, 546.28490,4909.46808
  34600,2021-03-07T22:51:32.504-05:00,   0.856E-02, 547.20127,4924.00045
  34700,2021-03-07T22:51:36.211-05:00,   0.990E-02, 548.18654,4938.07215
  34800,2021-03-07T22:51:40.109-05:00,   0.979E-02, 549.13524,4952.60591
  34900,2021-03-07T22:51:43.944-05:00,   0.102E-01, 550.07613,4966.89861
  35000,2021-03-07T22:51:47.787-05:00,   0.107E-01, 551.08281,4981.21419
  35100,2021-03-07T22:51:51.626-05:00,   0.965E-02, 552.03562,4995.49445
  35200,2021-03-07T22:51:55.336-05:00,   0.943E-02, 553.00399,5009.58043
  35300,2021-03-07T22:51:59.105-05:00,   0.943E-02, 553.94684,5023.62789
  35400,2021-03-07T22:52:02.861-05:00,   0.105E-01, 554.89197,5037.62693
  35500,2021-03-07T22:52:06.636-05:00,   0.101E-01, 555.90562,5051.68036
  35600,2021-03-07T22:52:10.456-05:00,   0.854E-02, 556.80515,5065.91032
  35700,2021-03-07T22:52:14.140-05:00,   0.928E-02, 557.69356,5079.87680
  35800,2021-03-07T22:52:17.989-05:00,   0.877E-02, 558.57043,5094.22714
  35900,2021-03-07T22:52:21.810-05:00,   0.954E-02, 559.52107,5108.46342
  36000,2021-03-07T22:52:25.654-05:00,   0.994E-02, 560.53379,5122.77218
  36100,2021-03-07T22:52:29.408-05:00,   0.945E-02, 561.50900,5137.00952
  36200,2021-03-07T22:52:33.320-05:00,   0.939E-02, 562.44060,5151.62699
  36300,2021-03-07T22:52:37.101-05:00,   0.957E-02, 563.34534,5165.70995
  36400,2021-03-07T22:52:40.913-05:00,   0.974E-02, 564.26318,5179.90404
  36500,2021-03-07T22:52:44.693-05:00,   0.974E-02, 565.23730,5194.00872
  36600,2021-03-07T22:52:48.359-05:00,   0.886E-02, 566.22546,5207.92670
  36700,2021-03-07T22:52:52.161-05:00,   0.102E-01, 567.14233,5222.09562
  36800,2021-03-07T22:52:56.008-05:00,   0.928E-02, 568.07527,5236.46046
  36900,2021-03-07T22:52:59.782-05:00,   0.100E-01, 568.96855,5250.52055
  37000,2021-03-07T22:53:03.562-05:00,   0.840E-02, 569.91182,5264.86802
  37100,2021-03-07T22:53:07.403-05:00,   0.992E-02, 570.86653,5279.16528
  37200,2021-03-07T22:53:11.241-05:00,   0.108E-01, 571.78159,5293.44827
  37300,2021-03-07T22:53:15.290-05:00,   0.105E-01, 572.76089,5308.47719
  37400,2021-03-07T22:53:19.267-05:00,   0.989E-02, 573.69518,5323.24686
  37500,2021-03-07T22:53:23.107-05:00,   0.925E-02, 574.61863,5337.77343
  37600,2021-03-07T22:53:27.171-05:00,   0.863E-02, 575.54737,5352.92802
  37700,2021-03-07T22:53:31.344-05:00,   0.109E-01, 576.53008,5368.41770
  37800,2021-03-07T22:53:35.347-05:00,   0.101E-01, 577.59037,5383.29840
  37900,2021-03-07T22:53:39.520-05:00,   0.105E-01, 578.52459,5398.77586
  38000,2021-03-07T22:53:43.387-05:00,   0.102E-01, 579.52752,5413.38391
  38100,2021-03-07T22:53:47.361-05:00,   0.101E-01, 580.48082,5428.13017
  38200,2021-03-07T22:53:51.465-05:00,   0.859E-02, 581.41019,5443.37460
  38300,2021-03-07T22:53:55.462-05:00,   0.883E-02, 582.33295,5458.22448
  38400,2021-03-07T22:53:59.526-05:00,   0.891E-02, 583.29095,5473.35633
  38500,2021-03-07T22:54:03.373-05:00,   0.880E-02, 584.20085,5487.93947
  38600,2021-03-07T22:54:07.413-05:00,   0.945E-02, 585.12760,5503.01218
  38700,2021-03-07T22:54:11.306-05:00,   0.102E-01, 586.05887,5517.46831
  38800,2021-03-07T22:54:15.193-05:00,   0.102E-01, 587.07859,5531.94476
  38900,2021-03-07T22:54:19.188-05:00,   0.101E-01, 588.02896,5546.81619
  39000,2021-03-07T22:54:23.040-05:00,   0.102E-01, 588.99105,5561.42575
  39100,2021-03-07T22:54:26.848-05:00,   0.110E-01, 589.99043,5575.60373
  39200,2021-03-07T22:54:30.826-05:00,   0.856E-02, 590.94082,5590.41385
  39300,2021-03-07T22:54:34.857-05:00,   0.829E-02, 591.77664,5605.41717
  39400,2021-03-07T22:54:38.734-05:00,   0.960E-02, 592.68377,5620.08763
  39500,2021-03-07T22:54:42.743-05:00,   0.926E-02, 593.63414,5634.99442
  39600,2021-03-07T22:54:46.629-05:00,   0.957E-02, 594.50784,5649.43384
  39700,2021-03-07T22:54:50.467-05:00,   0.922E-02, 595.42866,5663.73093
  39800,2021-03-07T22:54:54.267-05:00,   0.869E-02, 596.37313,5678.13759
  39900,2021-03-07T22:54:58.188-05:00,   0.859E-02, 597.29404,5692.74350
  40000,2021-03-07T22:55:02.016-05:00,   0.946E-02, 598.26450,5706.99781
  40100,2021-03-07T22:55:05.872-05:00,   0.892E-02, 599.13185,5721.36973
  40191,2021-03-07T22:55:09.542-05:00,   0.858E-02, 600.00000,5734.99812
