State/Country   City            Group                                            Url
USA: PA         Harrisburg      PyLadies Central PA                              https://www.meetup.com/PyLadies-Central-PA
USA: PA         Philadelphia    The Philadelphia Python Users Group (PhillyPUG)  https://www.meetup.com/phillypug
USA: PA         Pittsburgh      Pittsburgh Python                                https://www.meetup.com/Python-Pittsburgh
USA: TX         Austin          PyLadies ATX                                     https://www.meetup.com/PyLadies-ATX
USA: TX         Houston         Houston PyLadies                                 https://www.meetup.com/Houston_PyLadies
USA: UT         Salt Lake City  Salt Lake PyLadies                               https://www.meetup.com/Salt-Lake-Pyladies
USA: VA         Richmond        PyRVA (Python User Group - Richmond, VA)         https://www.meetup.com/PyRVAUserGroup
USA: WA         Redmond         Redmond Python                                   https://www.meetup.com/Redmond-Python-User-Group
USA: WA         Seattle         Puget Sound Programming Python (PuPPy)           https://www.meetup.com/PSPPython
USA: WA         Seattle         Seattle PyLadies                                 https://www.meetup.com/Seattle-PyLadies
